="Distribution of Citations Made on Total Citations Received (FE Models)  \label{ae.model123}"
="",="(1)",="(2)",="(3)"
="",="Citations Received",="Citations Received",="Citations Received"
="Citations Received",="",="",=""
="Share Citations Made[Same Region, Same Assignee]",="0.211",="0.179",="0.254"
="",="(0.014)",="(0.128)",="(0.036)"
="Share Citations Made[Same Region, Different Assignee]",="-0.393",="-0.471",="-0.0458"
="",="(0.010)",="(0.041)",="(0.808)"
="Share Citations Made[Different Region, Same Assignee]",="0.244",="0.282",="0.326"
="",="(0.000)",="(0.002)",="(0.000)"
="Share Citations Made[Different Region, Different Assignee]",="0.00301",="0.0243",="0.101"
="",="(0.932)",="(0.649)",="(0.036)"
="Log (Total Citations Made)",="0.241",="0.193",="0.240"
="",="(0.000)",="(0.000)",="(0.000)"
="Log (Num Patents)",="0.570",="0.662",="0.612"
="",="(0.000)",="(0.000)",="(0.000)"
="Log (Patent Pool Size)",="-0.125",="-0.272",="-0.0931"
="",="(0.000)",="(0.000)",="(0.000)"
="Constant",="-0.0147",="0.753",="-0.273"
="",="(0.777)",="(0.000)",="(0.000)"
="Observations",="16111",="6449",="9662"
="Groups",="1776",="617",="1159"
="Sample",="All Locations (UC)",="US Locations (UC)",="Non-US Locations (UC)"
="p-values in parentheses"
="All models include region fixed effects, year dummies and technology subcategory controls"
